bike_rider,zipcode,ebike_rider,by_public,by_car,by_bike,by_ebike,by_walking,no_commute,miles,try_bike,ebike_class,private_locker,group_locker,locker,ebike_rules,safty,interested
no,91950,yes,0,0,,0,0,1,0,,a bit,,,very,somewhat,,yes
yes,92117,no,0,1,,0,0,0,28,,no,,,very,not very,,yes
yes,92118,no,0,1,,0,0,0,10,,yes,,,very,very,,yes
no,92122,no,1,1,,0,0,0,24,,no,,,somewhat,don't know,,yes
no,92129,no,0,1,,0,0,0,22,,no,,,somewhat,not very,,yes
yes,92108,no,0,1,,0,0,0,10,,no,,,somewhat,not very,,maybe
no,91945,no,0,1,,0,0,0,20,,a bit,,,somewhat,not very,,yes
yes,92108,no,0,1,,0,0,0,10,,no,,,somewhat,not very,,yes
yes,92117,no,0,1,,0,0,0,15,,no,,,very,not very,,maybe
yes,92102,no,0,1,,0,0,0,12,,no,,,somewhat,somewhat,,maybe
no,92139,no,1,0,,0,0,0,15,,no,,,no opinon,don't know,,no
