Zipcode,Population,Land Area (Sq. Miles),Population Density (People per Square Mile),Median Age,Population By Age % (Under 18 Years),Population By Age % (18 to 34),Population By Age % (35 to 64),Population By Age % (65 and Over),Male %,White %,Black %,Asian %,Hispanic %,Other %,Less Than High School %,High School Grad or Higher %,Bachelor's Degree or Higher %,Media Household Income $,Gini Index,Unemployed % ,Poverty %,Average Commute to Work (min),Drove Alone %,Carpooled %,Public Transit %,Motorcycle %,Bicycle %,Walked %,Other %.1,Worked at Home %,Health Insurance Coverage %,Married %,Median House Value $,label
92078,53247.0,16.7,3188.4,37.5,26.69,19.23,38.2,15.89,49.81,52.53,1.3,10.18,31.34,4.65,8.09,91.91,47.86,97908.0,0.44,3.6,7.92,27.0,70.64,7.01,0.4,0.44,0.6,1.28,1.2,18.43,93.78,57.73,665300.0,2
92082,20300.0,125.68,161.52,41.7,24.05,19.52,38.61,17.82,49.6,51.01,1.66,2.78,35.14,9.41,10.43,89.57,31.55,103509.0,0.4,3.9,9.22,35.0,79.98,6.54,0.2,0.12,0.0,0.63,0.08,12.45,89.7,59.67,620700.0,6
92086,1306.0,221.35,5.9,59.5,9.72,18.61,35.45,36.22,50.15,65.39,0.92,6.97,16.31,10.41,7.78,92.22,28.03,48750.0,0.53,6.43,14.66,44.0,79.59,3.67,0.0,0.0,0.0,0.0,0.0,16.74,90.47,49.67,265800.0,6
92127,50852.0,22.67,2242.7,36.3,30.11,17.61,41.08,11.2,49.07,49.78,1.29,31.46,7.69,9.78,2.67,97.33,73.63,156464.0,0.44,6.03,3.35,26.0,71.47,9.15,0.09,0.03,0.82,1.02,1.23,16.19,97.93,61.79,914200.0,2
92128,50161.0,11.71,4285.24,43.8,19.36,17.79,41.3,21.55,47.4,56.2,2.66,22.91,11.48,6.75,3.25,96.75,60.42,112779.0,0.4,5.19,4.92,23.0,73.59,6.83,1.08,0.34,0.0,0.62,0.18,17.36,97.45,60.35,681900.0,2
92129,53742.0,13.08,4107.46,39.9,24.14,19.68,43.64,12.53,49.07,47.67,1.94,32.73,11.25,6.41,4.03,95.97,61.91,131688.0,0.41,5.45,5.38,26.0,72.56,7.26,0.44,0.16,0.36,0.84,0.89,17.49,96.16,60.65,815300.0,2
92536,2401.0,107.48,22.34,51.7,18.41,17.41,34.15,30.03,50.23,72.55,1.17,2.83,19.08,4.37,7.33,92.67,26.42,65509.0,0.48,10.48,13.04,48.0,69.45,12.24,0.0,0.0,0.0,12.12,0.0,6.19,95.5,65.88,374100.0,6
92007,11447.0,2.31,4949.7,40.7,25.6,14.75,40.73,18.92,54.28,71.05,0.33,2.87,22.34,3.41,8.38,91.62,61.16,124219.0,0.47,3.76,15.33,22.0,66.72,4.86,0.0,0.57,0.11,1.39,1.16,25.19,92.85,62.64,1304000.0,1
92008,27742.0,10.4,2667.31,41.8,16.64,24.79,41.05,17.53,51.64,68.41,0.72,5.1,20.1,5.67,3.86,96.14,53.99,89502.0,0.47,6.94,10.11,27.0,68.77,7.13,2.33,0.31,0.45,2.6,1.06,17.35,91.33,51.66,881300.0,6
92009,46622.0,12.19,3826.16,42.5,25.8,13.42,44.55,16.22,47.77,72.08,1.04,8.94,13.4,4.54,4.85,95.15,63.0,149820.0,0.43,5.81,6.28,29.0,72.58,4.66,0.53,0.03,0.29,0.76,0.56,20.59,95.85,61.64,964200.0,2
